tweet;created_at;source
q mentirada esse batman é o cara mais careta do universo nunca q ele fumaria da ganja https://t.co/96qk8zPoaY;2022-05-21 01:52:00+00:00;Twitter for Android
"Concordo com o @WagnerThomazoni em dois pontos:

- The Batman lacrou;

- Eu sou PÉSSIMO com nomes! rs

Mas continuo achando a ""análise"" do lacrador completamente imbecil.

Seu canal é f0d@, man...

TMJ!!! 👊

https://t.co/ITZlIf2aHz";2022-05-21 01:51:56+00:00;Twitter Web App
"Ele citou o fato de ser democrata americana clássica e o vilão ser em vários casos um pai de família ou um ""incel"", uma coisa que tá comum nesses filmes.

Aí a democrata padrão basicamente cria um discurso moralista sobre filantropia naquele naipe de ""ah, mas Batman é um+ https://t.co/f3PGwW14y2";2022-05-21 01:51:37+00:00;Twitter for Android
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:51:08+00:00;Twitter for Android
The Batman filme do ano a pisa em doutor estranho n para https://t.co/BjK6gsrJZt;2022-05-21 01:51:06+00:00;Twitter for Android
RT @Dc_da_depressao: Quando o assunto é o Batman, a internet tá desse jeito https://t.co/vmVx046wnO;2022-05-21 01:50:31+00:00;Twitter for Android
vendo batman e acho q descobri um novo fetiche;2022-05-21 01:50:28+00:00;Twitter for iPhone
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:50:19+00:00;Twitter for Android
MEU DEUS SE ESSE LEE JOGA NBA EU SOU O BATMAN MDS Q CARA RUIM;2022-05-21 01:50:14+00:00;Twitter for Android
"@Dc_da_depressao ""melhor mesmo é o Batman lego"" https://t.co/WZGOfZfzuQ";2022-05-21 01:50:01+00:00;Twitter for Android
@EmersonStaz @MarvelBRNews @Ei_Nerd Não.... The Batman tá aí pra provar q filme longo é bom, vingadores ultimato tbm....;2022-05-21 01:49:42+00:00;Twitter for Android
RT @Dc_da_depressao: Quando o assunto é o Batman, a internet tá desse jeito https://t.co/vmVx046wnO;2022-05-21 01:49:28+00:00;Twitter Web App
Finalmente entendemos pq o coringa e o batman são assim… https://t.co/vgUucSAPpW;2022-05-21 01:49:09+00:00;Twitter for iPhone
Queria muito aquele sobretudo roxo Batman da Lanvin;2022-05-21 01:49:02+00:00;Twitter for Android
"RT @chrisgonzatti: Asa Noturna e Batman em artes oficiais da DC para comemorar a chegada do verão nos EUA

Hipersexualização de super-herói…";2022-05-21 01:48:57+00:00;Twitter for Android
O filme do Batman é muito booooom! E assim encerro a noite em família! Semaninha boa;2022-05-21 01:48:52+00:00;Twitter for Android
nessas hrs eu queria ser igual a Marcela, botar 3 litrão pra dentro e ficar igual o Batman;2022-05-21 01:48:45+00:00;Twitter for Android
realidade: é a caverna do batman https://t.co/t6bolEjI2s;2022-05-21 01:48:40+00:00;Twitter for Android
Será q eu sou a única q gosta do Batman do Ben affleck??;2022-05-21 01:48:27+00:00;Twitter for Android
"RT @GEEKFLIXOFICIAL: MULTIVERSO DA LOUCURA PORQUE CHORAS? 

Tico e Teco: #DefensoresdaLei conta com referências ao Batman Vs Superman do Za…";2022-05-21 01:48:23+00:00;Twitter for Android
RT @LegiaoDosHerois: O ano é 2022. Batman do Ben Affleck e o Sonic Feio estão em um filme do Tico e Teco. É esse o tweet. https://t.co/0qnF…;2022-05-21 01:48:18+00:00;Twitter for Android
ESSA CENA DE THE BATMAN É TÃO BOA 😭 https://t.co/NTb2YYndbU;2022-05-21 01:47:53+00:00;Twitter for Android
@Keruvim__ É o terceiro melhor do ano pra mim, eu ainda curti mais doutor estranho e The Batman;2022-05-21 01:47:46+00:00;Twitter for Android
@chrisgonzatti Tá, mas pq o Batman tá usando a máscara na praia?;2022-05-21 01:47:19+00:00;Twitter for Android
